Breed_Name,FCI_Group,AKC_Group,Origin_Country,Size_Category,Average_Height_cm,Average_Weight_kg,Life_Expectancy_Years,Temperament,Primary_Purpose,Coat_Type,Color_Varieties,Training_Difficulty,Exercise_Needs,Grooming_Needs,Good_With_Families,Good_With_Children,Shedding_Level,Health_Concerns
Karelian Bear Dog,5 - Spitz and Primitive Types,Non-Sporting,Finland,Medium,46-60,17-28,10-13,Alert; Courageous; Even-Tempered; Fearless; Independent; Intelligent; Loyal; Territorial,Hunting; Guardian; Companion,Medium; Double; Straight; Thick; Dense,Black; Black and White; Black and Tan; Gray and White,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Keeshond,5 - Spitz and Primitive Types,Non-Sporting,Netherlands,Medium,43-48,16-20,12-15,Alert; Affectionate; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Playful; Sensitive,Companion; Family; Watchdog,Medium; Double; Fluffy; Thick; Dense,Gray; Black; Cream; White; Black and Silver Markings,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Kerry Beagle,6 - Scenthounds and Related Breeds,Hound,Ireland,Large,55-61,25-32,12-14,Active; Affectionate; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Dense,Black and Tan; Black and White; Tricolor,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Ear Infections
Kerry Blue Terrier,3 - Terriers,Terrier,Ireland,Medium,43-49,15-20,12-15,Alert; Affectionate; Courageous; Determined; Friendly; Intelligent; Loyal; Playful,Hunting; Companion; Guardian; Watchdog,Medium; Silky; Double; Wavy,Blue; Dark Blue; Gray-Blue; Blue-Black; Silver-Blue,Moderate,High,Very High,Yes,Yes,Moderate,Hip Dysplasia; Progressive Retinal Atrophy; Keratitis Sicca
Kishu Ken,5 - Spitz and Primitive Types,Non-Sporting,Japan,Medium,43-55,16-22,12-15,Alert; Bold; Courageous; Independent; Intelligent; Loyal,Hunting; Guardian; Companion,Medium; Double; Thick; Straight; Coarse,White; Red; Black; Brindle,Moderate,High,Moderate,Moderate,Moderate,Moderate,Hip Dysplasia; No Major Health Issues
Komondor,1 - Sheepdogs and Cattle Dogs,Working,Hungary,Giant,65-80,36-90,10-12,Alert; Confident; Courageous; Intelligent; Loyal; Majestic; Powerful,Guardian; Livestock Protection; Working,Long; Corded; Double; Dense,White; Cream; Light Cream,High,Moderate,Very High,Yes,Moderate,Low,Hip Dysplasia; Bloat; Elbow Dysplasia
Komoni,1 - Sheepdogs and Cattle Dogs,Herding,Albania,Large,60-75,30-50,10-12,Alert; Courageous; Faithful; Intelligent; Loyal; Powerful,Guardian; Herding; Livestock Protection; Working,Medium; Double; Thick,All Colors,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat
Kooikerhondje,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Netherlands,Small,35-40,9-13,12-14,Alert; Affectionate; Cheerful; Friendly; Intelligent; Lively,Hunting; Water Retrieval; Companion,Medium; Silky; Feathered; Wavy,Orange-Red and White; Combinations,Moderate,Moderate,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Kramskoy Pointer,7 - Pointers,Sporting,Russia,Large,55-65,25-35,12-14,Eager; Even-Tempered; Friendly; Intelligent; Loyal,Hunting; Pointing; Companion,Medium; Dense; Short,Liver; White; Combinations,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Kuvasz,1 - Sheepdogs and Cattle Dogs,Working,Hungary,Large,65-76,27-55,10-12,Alert; Confident; Courageous; Intelligent; Loyal; Independent; Protective,Guardian; Livestock Protection; Working; Companion,Medium; Double; Thick; Straight; Dense,White; Ivory,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Labrador Retriever,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Canada,Large,54-60,25-36,10-12,Affectionate; Alert; Courageous; Even-Tempered; Friendly; Gentle; Intelligent; Lively; Loyal; Obedient; Outgoing,Hunting; Retrieval; Service; Companion; Family; Therapy; Avalanche Rescue,Short; Double; Thick; Otter-like; Dense,Black; Yellow; Chocolate; Cream; Fox Red; Silver,Moderate,High,Moderate,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Bloat
Lacken,1 - Sheepdogs and Cattle Dogs,Herding,Belgium,Medium,55-66,20-30,12-14,Affectionate; Alert; Brave; Courageous; Diligent; Intelligent; Loyal; Obedient,Herding; Guardian; Working,Medium; Double; Wiry; Dense,Fawn; Red; Red-Fawn; Gray; Gray-Black,Moderate,Very High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Lagotto Romagnolo,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Italy,Medium,41-48,11-16,14-17,Alert; Affectionate; Eager; Even-Tempered; Friendly; Intelligent; Lively; Loyal,Hunting; Water Retrieval; Truffle Hunting; Companion,Medium; Curly; Double; Woolly; Dense,Off-White; White; Apricot; Apricot and White; Brown; Combinations,Moderate,Moderate,Very High,Yes,Yes,Low,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Ear Infections
Lakeland Terrier,3 - Terriers,Terrier,Great Britain,Small,33-38,6.5-7.5,12-16,Alert; Confident; Courageous; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Sensitive,Hunting; Companion; Family,Medium; Double; Hard; Rough; Wiry,Blue; Black; Chocolate; Gray; Liver; Red; Wheaten; Combinations; Combinations with Markings,Moderate,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Progressive Retinal Atrophy; Lens Luxation
Lancashire Heeler,1 - Sheepdogs and Cattle Dogs,Herding,Great Britain,Small,25-30,2.7-6,12-15,Alert; Affectionate; Courageous; Friendly; Intelligent; Loyal; Playful,Herding; Companion; Family,Short; Double; Dense,Black and Tan; Liver and Tan; Red; Fawn; Yellow; Black; Combinations,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy
Landseer,1 - Sheepdogs and Cattle Dogs,Herding,Germany,Giant,65-80,45-70,10-12,Affectionate; Alert; Balanced; Calm; Even-Tempered; Faithful; Friendly; Intelligent; Loyal; Obedient,Guardian; Working; Rescue; Companion; Family,Medium; Double; Thick; Dense; Feathered,White; Black Markings; Black and White,Moderate,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia; Dilated Cardiomyopathy
Lapinporokoira,5 - Spitz and Primitive Types,Working,Finland,Medium,43-51,20-24,12-14,Alert; Bold; Courageous; Dedicated; Friendly; Intelligent; Loyal,Herding; Reindeer Herding; Guardian; Working,Medium; Double; Thick; Erect,Black; Black and Tan; Brown; Brown and Tan; Red; Red and Tan; Combinations,Moderate,Very High,Moderate,Yes,Yes,Very High,Hip Dysplasia; No Major Health Issues
Large Munsterlander,7 - Pointers,Sporting,Germany,Large,58-65,25-35,10-12,Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively; Loyal,Hunting; Pointing; Companion; Family,Medium; Double; Wavy; Feathered; Dense,Black and White; Liver and White; Roan; Combinations,Moderate,Very High,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Lhasa Apso,9 - Companion and Toy Dogs,Non-Sporting,Tibet,Small,25-28,4.1-8.2,12-15,Alert; Affectionate; Courageous; Friendly; Lively; Loyal; Playful; Self-assured; Stubborn; Willful,Guardian; Companion; Family; Watchdog,Medium; Double; Long; Fine; Heavy,All colors; Black; Brown; Cream; Gold; Parti-colored,High,Moderate,Very High,Yes,Yes,Moderate,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy; Skin Issues
Leonberger,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Germany,Giant,65-80,45-77,8-9,Affectionate; Alert; Confident; Courageous; Even-Tempered; Friendly; Gentle; Intelligent; Loyal; Obedient; Powerful; Webbed Paws,Guardian; Rescue; Water Rescue; Companion; Family; Working,Medium; Double; Thick; Dense; Lion-like Mane,Yellow; Golden; Red; Red-Brown; Black Mask,Moderate,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia; Cancer
Brittany Epagneul,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,France,Medium,47-51,16-20,12-15,Affectionate; Alert; Eager; Even-Tempered; Friendly; Gentle; Intelligent; Lively; Loyal,Hunting; Flushing; Pointing; Companion; Family,Medium; Double; Wavy; Silky; Feathered,Orange and White; Liver and White; Black and White; Tricolor; Roan,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Allergies; Bloat
Lhasa Apso Mix (Lhasapoo),9 - Companion and Toy Dogs,Hybrid/Unrecognized,Hybrid,Small,25-41,5-20,12-15,Alert; Affectionate; Friendly; Intelligent; Lively; Playful,Companion; Family,Medium to Long; Double; Varies,Various colors,Varies,Moderate,Varies,Yes,Yes,Varies,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy
Lowchen,9 - Companion and Toy Dogs,Toy,France/Germany,Small,25-33,4.5-8,12-14,Alert; Affectionate; Cheerful; Confident; Friendly; Intelligent; Lively; Loyal; Playful,Companion; Family; Lapdog,Medium; Long; Silky; Fine; Feathered; Lion Clip Groom,Any color or color combination; White; Orange; Black; Combinations,Moderate,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Hip Dysplasia; Progressive Retinal Atrophy
Lurcher,10 - Sighthounds,Hound (Non-registered),Great Britain,Large,60-75,20-50,12-15,Alert; Athletic; Calm; Even-Tempered; Gentle; Intelligent; Loyal,Hunting; Sighthound; Companion; Former Racing,Short to Medium; Varies,Various colors,Moderate,Very High,Low-Moderate,Yes,Yes,Low-Moderate,Hip Dysplasia; Bloat; No Major Health Issues (breed-dependent)
Lupo Italiano,1 - Sheepdogs and Cattle Dogs,Herding (Rare),Italy,Large,60-75,25-45,10-12,Alert; Brave; Courageous; Independent; Intelligent; Loyal,Guardian; Livestock Protection; Working; Companion,Medium; Double; Thick; Dense,Gray; Brown; White; Black; Various Combinations,High,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat
Maltese,9 - Companion and Toy Dogs,Toy,Mediterranean,Tiny,20-25,1.8-3.2,12-15,Affectionate; Alert; Brave; Cheerful; Confident; Courageous; Friendly; Gentle; Intelligent; Lively; Playful; Spirited; Trusting,Companion; Lapdog; Family,Medium; Double; Silky; Fine; Pure White,White; Ivory; Tan (light),High,Moderate,Very High,Yes,Yes,Low,Patellar Luxation; Hip Dysplasia; Progressive Retinal Atrophy; Dental Issues
Maremma and Abruzzese Sheepdog,1 - Sheepdogs and Cattle Dogs,Working,Italy,Large,65-73,30-45,11-13,Alert; Confident; Courageous; Dignified; Intelligent; Loyal; Protective,Guardian; Livestock Protection; Working; Companion,Medium; Double; Thick; Dense; Heavy; Slightly Longer on Neck,White; Cream,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Mastiff,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Great Britain,Giant,70-78,59-68,6-10,Alert; Affectionate; Courageous; Dignified; Good-Natured; Intelligent; Loyal; Protective; Calm,Guardian; Companion; Family; Working,Short; Smooth; Close; Thick,Fawn; Apricot; Brindle; Black Mask; Distinctive Markings,Moderate,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia; Heart Issues
Miniature American Shepherd,1 - Sheepdogs and Cattle Dogs,Herding,United States,Small,33-46,10-20,12-13,Active; Affectionate; Alert; Energetic; Friendly; Intelligent; Lively; Loyal,Herding; Companion; Family; Watchdog,Medium; Double; Straight; Thick; Dense,Black; Blue Merle; Red; Red Merle; Tan Markings,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; Collie Eye Anomaly; Patent Ductus Arteriosus
Miniature Bull Terrier,3 - Terriers,Terrier,Great Britain,Small,25-35,9-14,12-13,Alert; Courageous; Determined; Friendly; Intelligent; Keen; Lively; Playful; Stubborn,Companion; Guardian; Watchdog,Short; Smooth; Close; Hard; Thick,White; Colored; Parti-colored; Brindle; Tan Markings,Moderate,Moderate,Low,Yes,Yes,Low,Patellar Luxation; Lens Luxation; Deafness; Heart Issues
Miniature Pinscher,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Toy,Germany,Toy,25-30,3.5-5,12-16,Alert; Affectionate; Confident; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Playful,Guardian; Companion; Watchdog; Family; Lapdog,Short; Smooth; Glossy; Close,Red; Black and Rust; Chocolate and Rust; Black; Combinations,Moderate,Moderate,Low,Yes,Yes,Moderate,Patellar Luxation; Progressive Retinal Atrophy; Hypoglycemia
Miniature Schnauzer,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Terrier,Germany,Small,30-35,4.5-8,12-14,Alert; Affectionate; Intelligent; Keen; Playful; Spirited; Stubborn; Willing,Guardian; Companion; Watchdog; Family,Medium; Double; Hard; Wiry; Bushy Eyebrows; Beard and Mustache,Salt and Pepper; Black; Black and Silver; Black; White,Moderate,Moderate,High,Yes,Yes,Low,Patellar Luxation; Progressive Retinal Atrophy; Diabetes; Comedo Syndrome
Miniature Schnauzer Poodle Mix (Schnoodle),2 & 9 - Hybrid,Hybrid/Unrecognized,Hybrid,Varies,30-38,5-20,12-15,Affectionate; Alert; Eager; Friendly; Intelligent; Playful,Companion; Family,Varies; Double; Curly; Wiry; Wavy,Various colors,Varies,Moderate-High,Varies,Yes,Yes,Varies,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy
Mioritic Shepherd Dog,1 - Sheepdogs and Cattle Dogs,Herding,Romania,Giant,65-75,35-75,12-14,Alert; Confident; Courageous; Faithful; Intelligent; Loyal; Obedient; Protective,Guardian; Herding; Livestock Protection; Working,Medium; Double; Thick; Dense,White; Gray; Black; Cream; Brindle; Combinations,High,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Mittelspitz,5 - Spitz and Primitive Types,Non-Sporting,Germany,Medium,30-38,3.5-8,12-16,Alert; Affectionate; Friendly; Intelligent; Lively; Loyal; Playful,Companion; Family; Watchdog,Medium; Double; Thick; Fluffy,All colors,Moderate,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy
Molossian (Various),2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Various,Large-Giant,Various,Various,Various,Varies,Guardian; Protection; Working,Short to Medium; Smooth; Thick; Dense,Various,Varies,Varies,Low,Moderate-Yes,Varies,Varies,Hip Dysplasia; Bloat; Elbow Dysplasia
Moscovskaya Watchdog,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Russia,Giant,66-76,45-68,10-11,Alert; Courageous; Devoted; Fearless; Friendly; Intelligent; Loyal; Obedient,Guardian; Protection; Working; Companion,Medium; Double; Thick; Dense,White; Red; Red and White; Black and White; Brindle; Combinations,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Mudi,1 - Sheepdogs and Cattle Dogs,Herding,Hungary,Medium,36-47,8-13,12-14,Alert; Courageous; Curious; Energetic; Intelligent; Lively; Loyal; Playful; Sensitive,Herding; Guardian; Companion; Watchdog,Medium; Double; Wiry; Wavy; Curly; Dense,Black; Red; Fawn; Blue; Combinations; White Markings,Moderate,Very High,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Mutt (Mixed Breed),,Non-Registered,Various,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Often Yes,Often Yes,Varies,Depends on Mix
Neapolitan Mastiff,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Italy,Giant,60-76,50-68,7-9,Alert; Confident; Courageous; Loyal; Protective; Stubborn,Guardian; Protection; Family; Working,Short; Smooth; Close; Thick,Black; Gray; Brown; Tan; Brindle; Mahogany; White Markings,Moderate,Low,Low,Moderate,Moderate,Low,Hip Dysplasia; Bloat; Elbow Dysplasia; Skin Issues
Newfoundland,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Canada,Giant,66-71,45-68,9-10,Alert; Brave; Devoted; Friendly; Gentle; Intelligent; Loyal; Obedient; Protective; Sweet Tempered; Webbed Paws; Water Rescue,Guardian; Water Rescue; Companion; Family; Lifeguard,Medium; Double; Oily; Wavy; Dense; Weather Resistant,Black; Brown; Gray; Landseer (Black and White),Moderate,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia; Heart Issues
Nihon Ken (Akita; Shiba Inu; Shikoku; Hokkaido; Kishu; Kai),5 - Spitz and Primitive Types,Non-Sporting,Japan,Varies,Varies,Varies,12-16,Varies,Hunting; Guardian; Companion,Medium; Double; Thick; Erect; Fluffy,Various Colors,Varies,High,Varies,Yes,Moderate,Varies,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy
Nordic Breeds (Various Husky; Malamute; Samoyed),5 - Spitz and Primitive Types,Non-Sporting/Working,Arctic,Varies,Varies,Varies,10-14,Varies,Sled Pulling; Hunting; Companion,Medium to Long; Double; Thick; Dense; Fluffy,Various; White; Gray; Black; Red; Combinations,Varies,Very High,Varies,Often Yes,Often Yes,Very High,Hip Dysplasia; Bloat; Progressive Retinal Atrophy
Norfolk Terrier,3 - Terriers,Terrier,Great Britain,Small,23-25,5-5.5,12-15,Alert; Affectionate; Courageous; Even-Tempered; Friendly; Independent; Intelligent; Lively; Loyal; Sporting,Hunting; Companion; Family,Medium; Double; Hard; Rough; Wiry,Red; Wheaten; Black; Tan; Grizzle,Moderate,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Heart Issues; Progressive Retinal Atrophy; Epilepsy
Norrbottenspets,5 - Spitz and Primitive Types,Non-Sporting,Sweden,Small,28-36,3.5-5.5,12-14,Alert; Affectionate; Courageous; Friendly; Intelligent; Lively; Loyal; Playful; Quick,Hunting; Companion; Family; Watchdog,Medium; Double; Erect,Red; Black; Yellow; Cream; White; Markings,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy
Norwegian Buhund,1 - Sheepdogs and Cattle Dogs,Herding,Norway,Medium,41-47,12-18,12-15,Alert; Bold; Courageous; Energetic; Friendly; Intelligent; Lively; Loyal; Playful,Herding; Guardian; Companion; Working,Medium; Double; Straight; Thick; Dense,Red; Black; Wheaten; Fawn; White Markings,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Collie Eye Anomaly
Norwegian Elkhound,5 - Spitz and Primitive Types,Hound,Norway,Medium,45-52,20-30,12-15,Alert; Courageous; Friendly; Independent; Intelligent; Lively; Loyal,Hunting; Moose Hunting; Companion; Family,Medium; Double; Straight; Thick; Dense; Erect,Gray; Black; White; Combinations with Tan Markings; Black Markings,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Sebaceous Adenitis
Norwegian Lundehund,5 - Spitz and Primitive Types,Non-Sporting,Norway,Small,31-38,3-7,12-15,Alert; Bold; Courageous; Even-Tempered; Friendly; Independent; Intelligent; Loyal; Playful; Sensitive; Unique - Six Toes on Front Feet,Hunting; Companion; Family,Medium; Double; Rough; Erect; Dense,Red; Fawn; Gray; Black; White; Combinations,High,Moderate,High,Yes,Yes,Very High,Hip Dysplasia; Patellar Luxation; Gastrointestinal Dysfunction
Norwich Terrier,3 - Terriers,Terrier,Great Britain,Small,23-25,5-5.5,12-15,Alert; Affectionate; Courageous; Even-Tempered; Friendly; Independent; Intelligent; Keen; Lively; Loyal; Playful; Responsive,Hunting; Companion; Family,Medium; Double; Hard; Rough; Wiry; Prick Ears,Red; Wheaten; Black; Tan; Grizzle,Moderate,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Heart Issues; Progressive Retinal Atrophy; Epilepsy
Nova Scotia Duck Tolling Retriever,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Canada,Medium,43-53,17-26,12-14,Alert; Affectionate; Eager; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Playful,Hunting; Retrieval; Companion; Family,Medium; Double; Feathered; Wavy; Dense,Red; Red and White; Cream,Moderate,Very High,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Collie Eye Anomaly
Owtcharka/Ovcharka (Various),1 - Sheepdogs and Cattle Dogs,Working,Russia/Caucasus,Large-Giant,Varies,Varies,11-12,Varies,Guardian; Livestock Protection; Working,Medium; Double; Thick; Dense,Various; White; Black; Fawn; Combinations,High,Moderate,Very High,Moderate-Yes,Moderate,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Paisley Terrier (Rare),3 - Terriers,Terrier (Rare),Scotland,Small,20-25,5-6,12-15,Alert; Courageous; Friendly; Intelligent; Keen; Lively; Loyal,Hunting; Companion; Family,Long; Silky; Fine,Blue; Gray; Black; Tan Markings,High,Moderate,Very High,Yes,Yes,Low,Patellar Luxation; Lens Luxation; No Major Health Issues
Papillon,9 - Companion and Toy Dogs,Toy,Belgium/France,Small,20-25,1.5-2.7,13-15,Alert; Affectionate; Cheerful; Courageous; Friendly; Gentle; Intelligent; Keen; Lively; Playful; Responsive; Sociable; Spirited; Trainable,Companion; Family; Watchdog; Therapy Dog; Agility Champion,Medium; Fine; Silky; Feathered; Fringed,White; Red; Brown; Black; Parti-colored; Tricolor,Moderate,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Hip Dysplasia; Progressive Retinal Atrophy; Epilepsy
Parson Russell Terrier,3 - Terriers,Terrier,Great Britain,Small,33-36,6.3-8,12-15,Alert; Affectionate; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Lively; Loyal; Obedient,Hunting; Companion; Family; Working,Medium; Double; Rough; Hard; Wiry; Smooth,White; White with Markings; Black; Tan; Brown; Brindle,Moderate,Very High,Moderate,Yes,Yes,Low,Patellar Luxation; Lens Luxation; Deafness; Cerebellar Ataxia
Patterdale Terrier (Fell Terrier),3 - Terriers,Terrier (UKC),Great Britain,Small,30-40,5-11,11-15,Alert; Courageous; Determined; Even-Tempered; Friendly; Intelligent; Keen; Loyal; Playful,Hunting; Companion; Family,Short; Smooth; Dense; Double,Black; Red; Chocolate; Brindle; Parti-colored; Tan Markings,Moderate,High,Low,Yes,Yes,Low,Patellar Luxation; Lens Luxation; No Major Health Issues
Pekingese,9 - Companion and Toy Dogs,Toy,China,Tiny,15-23,3.6-6.3,10-14,Alert; Affectionate; Courageous; Dignified; Even-Tempered; Friendly; Intelligent; Loyal; Playful; Proud; Self-assured; Willful,Guardian; Companion; Lapdog; Watchdog; Family,Medium; Double; Long; Straight; Feathered; Lion-like Front,All colors; White; Red; Black; Combinations; Black and Tan,High,Low,Very High,Yes,Moderate,Low,Brachycephalic Syndrome; Patellar Luxation; Progressive Retinal Atrophy; Keratitis Sicca
Pembroke Welsh Corgi,1 - Sheepdogs and Cattle Dogs,Herding,Great Britain,Small,25-30,13-15,12-13,Affectionate; Alert; Courageous; Friendly; Intelligent; Loyal; Playful,Herding; Companion; Family; Watchdog,Medium; Double; Dense; Straight,Red; Sable; Fawn; Black and Tan; White Markings; Blazes,Moderate,Moderate,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Perro de Presa Canario,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Spain (Canary Islands),Large,56-66,38-65,9-11,Alert; Confident; Courageous; Determined; Fearless; Loyal; Obedient; Powerful; Protective,Guardian; Protection; Livestock; Companion,Short; Smooth; Close; Thick,Fawn; Brindle; Black; Tan Markings; White Markings,Moderate,High,Low,Moderate,Moderate,Low,Hip Dysplasia; Bloat; Elbow Dysplasia
Perro de Presa Mallorquin,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working (Rare),Spain (Mallorca),Large,52-58,30-40,10-12,Alert; Brave; Courageous; Determined; Fearless; Intelligent; Loyal; Obedient; Protective,Guardian; Protection; Livestock; Companion,Short; Smooth; Dense,Fawn; Brindle; Black; Tan Markings; White Markings,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Peruvian Inca Orchid,5 - Spitz and Primitive Types,Non-Sporting,Peru,Small-Large,25-66,3-25,11-13,Alert; Affectionate; Courageous; Energetic; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Playful,Companion; Family; Watchdog,Hairless or Coated variants,Variety of colors,Moderate,Moderate-High,Low (Hairless) or Moderate (Coated),Yes,Yes,Low (Hairless) or Moderate (Coated),Hip Dysplasia; Patellar Luxation; Skin Issues
Petit Basset Griffon Vendeen,6 - Scenthounds and Related Breeds,Hound,France,Small,33-38,12-18,12-15,Alert; Affectionate; Courageous; Even-Tempered; Friendly; Intelligent; Lively; Loyal,Hunting; Scent Trailing; Companion; Family,Medium; Double; Rough; Wiry; Bushy,White with Red; Fawn; Black; Combinations; Markings,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Ear Infections
Pharaoh Hound,10 - Sighthounds,Hound,Malta,Medium,53-66,20-27,12-14,Active; Alert; Affectionate; Courageous; Friendly; Intelligent; Keen; Lively; Loyal; Playful,Hunting; Sighthound; Companion; Family,Short; Smooth; Fine; Glossy,Red; Red-Fawn; Tan; Chestnut; Combinations with White,Moderate,High,Low,Yes,Yes,Low,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Phu Quoc Ridgeback,5 - Spitz and Primitive Types,Hound (Rare),Vietnam,Medium,45-61,16-24,13-15,Alert; Courageous; Even-Tempered; Friendly; Intelligent; Loyal; Playful,Hunting; Guardian; Companion; Family,Short; Smooth; Dense; Ridge on Back,Red; Black; Brindle; Combinations,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Picardy Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting (Rare),France,Medium,55-61,20-27,12-14,Affectionate; Alert; Eager; Even-Tempered; Friendly; Intelligent; Loyal,Hunting; Flushing; Pointing; Companion; Family,Medium; Double; Wavy; Feathered; Dense,White with Brown Markings; Roan; Combinations,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Plott Hound,6 - Scenthounds and Related Breeds,Hound,United States,Large,53-61,20-30,12-13,Alert; Courageous; Determined; Even-Tempered; Friendly; Independent; Intelligent; Loyal,Hunting; Scent Trailing; Boar Hunting; Companion,Short; Smooth; Dense,Black; Brindle; Spotted; Combinations; Striped; Brindled,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; No Major Health Issues
Pointer,7 - Pointers,Sporting,Great Britain,Large,61-69,20-34,12-15,Alert; Eager; Even-Tempered; Friendly; Intelligent; Lively; Loyal; Obedient; Willing,Hunting; Pointing; Companion; Family,Short; Smooth; Fine; Glossy,White; Black; Brown; Lemon; Orange; Liver; Combinations,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat; Progressive Retinal Atrophy
